Mac nameDiff Lat,Diff Lon,Diff Alt,
Mon Jan 01 02:00:00 IST 70,32.103894709744594,35.21049492167429,704.5923732249231,
Mon Jan 01 02:00:00 IST 70,5.486233696672116E-5,1.1536739414452768E-4,5.4464520768272,
Mon Jan 01 02:00:00 IST 70,2.3786256582525311E-4,3.725232356828201E-4,8.280686569434238,
Mon Jan 01 02:00:00 IST 70,32.103894709744594,35.21049492167429,704.5923732249231,
Mon Jan 01 02:00:00 IST 70,1.9069998577947445E-4,3.4222985554066554E-4,8.00607360324318,
Wed May 12 11:33:00 IST 17,1.3321872781801858E-4,1.3449845918955816E-4,3.9003771656108484,
Wed May 12 11:33:00 IST 17,32.10369861480585,35.21017541181782,710.7485234469889,
Wed May 12 11:33:00 IST 17,1.7040692220149367E-4,1.0376275322698802E-4,4.843846015615782,
Wed May 12 11:33:00 IST 17,9.05995515978475E-5,4.7105181842255206E-5,8.048044207945395,
Wed May 12 11:33:00 IST 17,2.457757582732256E-4,4.3722774882581916E-4,9.103590487495921,
Wed May 12 11:33:00 IST 17,2.4886355357267576E-4,4.811428536086737E-4,10.56380433242191,
Wed May 12 11:33:00 IST 17,2.457757582732256E-4,4.372277488329246E-4,9.103590487495921,
Wed May 12 11:34:00 IST 17,1.3475016447017651E-4,1.5946561138235893E-4,5.40010641162894,
Wed May 12 11:36:00 IST 17,32.10353001380368,35.21019151040621,704.3507958999672,
Wed May 12 11:36:00 IST 17,2.2478653298918516E-4,2.180020049351583E-4,5.487394763332077,
Wed May 12 11:36:00 IST 17,32.10353001380368,35.21019151040621,704.3507958999672,
Wed May 12 11:36:00 IST 17,2.7482241035414745E-4,2.8451795901673904E-4,0.9978769689806768,
Wed May 12 11:37:00 IST 17,7.604169208335065E-4,4.996476541023753E-4,14.227067838251855,
Wed May 12 11:37:00 IST 17,32.10395875147923,35.21066815651692,699.9818926194969,
Wed May 12 11:37:00 IST 17,1.1758647173110148E-4,3.299136801615532E-4,3.5927617894415107,
Wed May 12 11:41:00 IST 17,32.10404325934356,35.20974769259932,689.9008777317454,
Wed May 12 11:41:00 IST 17,32.104164309999994,35.20986187,689.9999999999999,
Wed May 12 11:41:00 IST 17,32.104722780847304,35.210176197874326,685.7578901859382,
Wed May 12 11:41:00 IST 17,0.0,0.0,0.0,
Wed May 12 11:41:00 IST 17,0.0,0.0,0.0,
Wed May 12 11:41:00 IST 17,32.10377567799517,35.20989278267361,700.3654913462012,
Wed May 12 11:41:00 IST 17,0.0,0.0,0.0,
Wed May 12 11:41:00 IST 17,32.1041295590091,35.21030466664262,702.5208931328657,
Wed May 12 11:41:00 IST 17,32.10371118061106,35.21016029391523,710.7704009485287,
Wed May 12 11:41:00 IST 17,0.0,0.0,0.0,
Wed May 12 11:43:00 IST 17,2.0002984501132914E-4,4.4181620911842856E-4,0.7027015330254471,
Wed May 12 11:43:00 IST 17,32.104505314202996,35.20969786898146,686.4453277623883,
Wed May 12 11:43:00 IST 17,2.3818112784823597E-4,6.60199022490815E-5,0.09467696611864085,
Wed May 12 11:43:00 IST 17,32.104505314202996,35.20969786898146,686.4453277623883,
Wed May 12 11:43:00 IST 17,8.493308696628787E-4,6.690389814565378E-4,0.4453277623881604,
Wed May 12 11:43:00 IST 17,6.368965221312806E-4,8.119635162913141E-4,15.735615028667553,
Wed May 12 11:43:00 IST 17,5.708085986029232E-4,9.395194697532361E-4,13.389498062705115,
Wed May 12 11:43:00 IST 17,32.104505314202996,35.20969786898146,686.4453277623883,
Wed May 12 11:43:00 IST 17,2.8378856304556166E-4,3.4102208957875746E-4,4.8172572656349075,
Wed May 12 11:43:00 IST 17,32.104505314202996,35.20969786898146,686.4453277623883,
Wed May 12 11:43:00 IST 17,1.3549624972597485E-4,1.6524214970559115E-4,0.022336108680292455,
Wed May 12 11:43:00 IST 17,1.3950753632485657E-4,2.1041564812662727E-4,0.4453277623882741,
Wed May 12 11:43:00 IST 17,4.104710916621457E-4,3.7682921303883177E-4,2.805198547661689,
Wed May 12 11:44:00 IST 17,32.103804451692376,35.210254888699964,710.9347988784789,
Wed May 12 11:44:00 IST 17,1.0465990957442273E-4,3.312585726433781E-4,9.351957729482592,
Wed May 12 11:44:00 IST 17,1.0465990957442273E-4,3.312585726362727E-4,9.351957729482706,
Wed May 12 11:45:00 IST 17,1.2456041080355362E-4,3.2783530807733996E-4,1.5754366447305301,
Wed May 12 11:47:00 IST 17,2.960012788477684E-4,3.036547191257455E-4,0.5602807170884034,
Wed May 12 11:47:00 IST 17,3.934182178895185E-4,5.7653595355589005E-5,0.05916528284103606,
Wed May 12 11:47:00 IST 17,2.7294276708289544E-4,2.4060093174682606E-4,2.3702161526264263,
Wed May 12 11:47:00 IST 17,2.2757481094259902E-4,2.728581347071213E-4,2.499038995103092,
Wed May 12 11:47:00 IST 17,7.219685177517476E-5,3.423443673256088E-5,3.6091984694124903,
Wed May 12 11:47:00 IST 17,2.18067095289598E-4,2.838078283744494E-4,2.2035613667857206,
Wed May 12 11:48:00 IST 17,8.247584886333925E-5,1.03671733597821E-4,1.7723601060691863,

Average latitude : 10.106988347867727
Average longitude : 11.084845882110729
Average altitude : 222.8418741210778
